FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-06-02,2021-06-01,RLMD,"Relmada Therapeutics, Inc.",Casamento Charles J,Dir,S - Sale,33.34,-3000.0,6950.0,-30.0,-100020.0
2021-06-02,2021-06-01,ELY,Callaway Golf Co,Brewer Oliver G III,"Pres, CEO",S - Sale+OE,37.21,-497537.0,980443.0,-34.0,-18513849.0
2021-06-02,2021-06-01,MBI,Mbia Inc,Shasta Theodore,Dir,S - Sale,10.05,-5703.0,46346.0,-11.0,-57315.0
2021-06-02,2021-06-01,NWPX,Northwest Pipe Co,Larson Keith R,Dir,S - Sale,31.57,-1000.0,21313.0,-4.0,-31575.0
2021-06-02,2021-05-28,NVAX,Novavax Inc,Herrmann John A III,"EVP, GC",S - Sale+OE,149.14,-2895.0,275.0,-91.0,-431748.0
2021-06-02,2021-06-01,RCM,R1 Rcm Inc.,Flanagan Joseph Gerard,"Pres, CEO",S - Sale,21.83,-500000.0,2481799.0,-17.0,-10912500.0
2021-06-02,2021-05-28,SRLP,Sprague Resources LP,Weego Brian W.,See Remarks,S - Sale,25.68,-22000.0,0.0,-100.0,-564980.0
2021-06-02,2021-05-28,XPEL,"Xpel, Inc.",Constantine John,Dir,S - Sale,82.11,-61256.0,1334337.0,-4.0,-5029730.0
2021-06-02,2021-05-28,NWPX,Northwest Pipe Co,Montross Scott J,"Pres, CEO",S - Sale+OE,31.94,-500.0,90274.0,-1.0,-15971.0
2021-06-02,2021-05-28,SSNT,"Silversun Technologies, Inc.","Ault Global Holdings, Inc.",10%,P - Purchase,6.85,15000.0,560000.0,3.0,102790.0
2021-06-02,2021-05-28,HARP,"Harpoon Therapeutics, Inc.",Gadicke Ansbert,10%,S - Sale,20.63,-57494.0,6328095.0,-1.0,-1186190.0
2021-06-02,2021-06-01,SO,Southern Co,Kuczynski Stephen E,"Pres, CEO, Southern Nuclear",S - Sale,64.13,-2500.0,91651.0,-3.0,-160325.0
2021-06-02,2021-06-01,LEN,Lennar Corp /new/,McCall Jeffrey Joseph,EVP,S - Sale,100.14,-10000.0,153758.0,-6.0,-1001400.0
2021-06-02,2021-06-01,DLTR,"Dollar Tree, Inc.",Bridgeford Gregory M,Dir,P - Purchase,99.02,5100.0,5899.0,638.0,505003.0
2021-06-02,2021-06-01,LOV,Spark Networks Se,Canaan VIII LP,10%,S - Sale,5.8,-24000.0,2822952.0,-1.0,-139309.0
2021-06-02,2021-06-01,URBN,Urban Outfitters Inc,McDonald Wesley S,Dir,S - Sale+OE,39.67,-10000.0,0.0,-100.0,-396700.0
2021-06-02,2021-06-01,OM,"Outset Medical, Inc.",Trigg Leslie,"Pres, CEO",S - Sale+OE,47.9,-20000.0,259428.0,-7.0,-957930.0
2021-06-02,2021-06-01,TRUE,"Truecar, Inc.",Buce Robert,Dir,S - Sale,5.66,-17500.0,429278.0,-4.0,-99003.0
2021-06-02,2021-05-28,PFHD,Professional Holding Corp.,Garcia Carlos M.,Dir,S - Sale,18.24,-3900.0,453869.0,-1.0,-71136.0
